PÄÄLUOKKA,SELITE,KAUPUNKILUONTOTYYPPI,KUVAUS,PERUSPISTE,LAATUIND1,LAATUIND2,LAATUIND3,LAATUIND4,LAATUIND5,LAATUIND6,LAATUIND7,LAATUIND8
PUUSTOISET ALUEET,"Tässä määritelmänä tietty %-osuus latvuspeittävyydestä, esim. yli 30%",PUUSTOISET VIHERALUEET,"Puustoiset viheralueet ovat tyypillisesti puistoja, hautausmaita, virkistysalueita, joilla kasvaa keskimäärin yli 5 m korkeita latvuspeittävyyttä muodostavia puita. Ne on suunniteltu, perustettu ja niitä hoidetaan alueen käyttötarkoitus ja luonnonolosuhteet huomioiden.",6,latvuspeittävyys,puuston ikä,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",maanvaraisuus (on/ei),lahopuun määrä,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
PUUSTOISET ALUEET,,PENSAIKOT,"Pensaikkoja kasvaa tyypillisesti erilaisilla reunavyöhykkeillä, kuten katu- ja tieverkon sekä asuinalueiden ja metsien reunoilla. Pensaiksi lasketaan yleisesti 0,5-5 m korkeat puuvartiset ja tyvestä harovat kasvit. Tätä korkeammat pensaikot voidaan luokitella puustoiselle alueelle. Pensaikot kasvavat ja levittäytyvät usein itsestään, joten niitä hoidetaan tarvittaessa lähinnä raivaamalla sekä puuston poistolla.",5,,,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",maanvaraisuus (on/ei),,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
AVOIMET VIHERALUEET,"Tässä määritelmänä tietty %-osuus latvuspeittävyydestä, esim. alle 30%",PELLOT JA LAIDUNMAAT,"Pelto on yleisnimi pysyväisluonteisesti maatalouskäytössä olevalle maa-alueelle. Laidun on hyötyeläimille aidattu avoin alue. Peltoja ja laitumia on perustettu raivaamalla kasvillisuutta ja muokkaamalla maata. Niitä ylläpidetään maatalouden keinoin. Peltoihin ja laitumiin voi liittyä myös maisemallisia ja kulttuurishistoriallisia arvoja, joten varsinkin kaupunkialueilla maatalouskäytöstä poistuneita peltoja ja laitumia ylläpidetään esimerkiksi kukkapeltoina.",2,sarkaojat (on / ei),viljelykäytössä / maisemapelto,,,puiden määrä / puustoiset saarekkeet,,haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
AVOIMET VIHERALUEET,,PUISTOMAISET AVOIMET VIHERALUEET JA NURMIALUEET,"Puistomaiset avoimet viheralueet ovat tyypillisesti virkistykseen, urheiluun ja ulkoiluun tarkoitettuja käyttöviheralueita. Ne on suunniteltu, perustettu ja niitä hoidetaan alueen käyttötarkoitus ja luonnonolosuhteet huomioiden.Niillä on usein laajoja nurmialueita, mutta myös kesäkukka-, perenna-, pensas- ja puuistutuksia.",2,latvuspeittävyys (kuitenkin alle 30%),puuston ikä,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",maanvaraisuus (on/ei),,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
AVOIMET VIHERALUEET,,NIITYT,"Niityt ovat avoimia tai vähäpuustoisia alueita, joiden kasvilajisto koostuu heinistä, sarakasveista ja kukkivista ruohovartisista kasveista. Niityt ovat usein syntyneet laiduntamisen vaikutuksesta tai vanhoille käytöstä poistuneille pelloille. Lisäksi perustetaan niin sanottuja uusniittyjä esimerkiksi nurmialueille. Niittyjä hoidetaan niittämällä ja poistamalla niittojäte kohteesta riippuen kerran tai kaksi vuodessa. Jos niityillä on laidunnusta, lasketaan alue laitumena.",6,,,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",maanvaraisuus (niittykatot lasketaan kohdassa kasvikatot),puiden määrä / puustoiset saarekkeet,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
AVOIMET VIHERALUEET,,RUDERAATIT,"Ruderaatit syntyvät erilaisille joutomaille itsestään. Ruderaateille tyypillinen ruohovartinen kasvillisuus kehittyy joutomaan maaperän siemenpankista sekä eläinten ja tuulen mukana alueelle kulkeutuneista siemenistä. Ruderaatit eivät yleensä kuulu kunnossapidon piiriin, mutta niitä voidaan hoitaa niittämällä ja poistamalla pensaikot ja puuntaimet.",5,,,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, pölytystä tukevat kasvit",maanvaraisuus (on/ei),puiden määrä / puustoiset saarekkeet,,haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
AVOIMET VIHERALUEET,,RAKENNETUT HULEVESILAMMET JA -KOSTEIKOT JA RAKENNETUT RANNAT,"Rakennetut hulevesilammet ja -kosteikot on tehty hulevesien luontopohjaista viivytystä ja suodattamista varten. Niiden läheisyyteen on istutettu kasvillisuutta, joskus puitakin. Rakennetut rannat ovat kasvipeitteisiä tai muuten luonnonmukaiseksi rakennettuja. Molempia hoidetaan kohdekohtaisesti.",6,rantapuusto ja -pensasto,,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, vyöhykkeisyys, pölytystä tukevat kasvit",,,,haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
KORTTELI- JA KATUALUEET,,LIIKENNEVIHREÄ,Liikennevihreällä tarkoitetaan teiden ja katujen varsille ja keskelle istutettua tai kylvettyä kasvillisuutta. Liikennevihreä sisältää myös erilaiset suojavyöhykkeet ja niiden kasvillisuuden.,3,latvuspeittävyys,puuston ikä,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",,,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
KORTTELI- JA KATUALUEET,,KASVIKATOT,"Kasvikatolla tarkoitetaan rakennuksen kattoa, jolla on kasvillisuutta ja sen tarvitsema kasvualusta sekä näihin liittyvät tekniset alusrakenteet. Parhaimmillaan kasvikattojen kasvillisuus tukee muuta viherrakennetta. Kasvikatoiksi ei lueta kansipihoja tai esimerkiksi tunnelin päälle perustettuja viheralueita.",1,,,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",kerrosmäärä (eli kuinka korkealla katto on),,,haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
KORTTELI- JA KATUALUEET,,PIHAT JA PUUTARHAT,"Pihat ja puutarhat sijoittuvat asuin- tai vapaa-ajan asuinrakennuksen tontille, kortteliin tai välittömään ympäristöön. Kasvillisuuden määrä ja hoito vaihtelee paljon asukkaasta tai muusta alueen toimijasta riippuen. Puutarha on tyypillisesti kaupungin tai kartanon hyöty- tai koristekasvien viljelyalue, joka tarkoitettu myös virkistykseen. Usein niitä hoidetaan historiallista ilmettä vaalien.",5,tonttiviherkerroin,puuston ikä,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",maanvaraisuus (on/ei),latvuspeittävyys,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)
KORTTELI- JA KATUALUEET,,PALSTA-ALUEET JA SIIRTOLAPUUTARHAT,"Palsta-alueet ja siirtolapuutarhat ovat yleisiä virkistysalueita, joiden viljelylle varatut palstat ovat kuitenkin viljelijän yksityisessä käytössä. Niitä viljellään ja hoidetaan alueen yhdistyksen sääntöjen mukaisesti, etenkin siirtolapuutarhoissa monesti historiallista ilmettä vaalien.",4,puuston ja/tai pensaston (latvus)peittävyys,puuston ikä,"kasvillisuuden ekologinen edustavuus: esim. kasvilajirikkaus, kerroksellisuus, lajiston kotoperäisyys, pölytystä tukevat kasvit",,,maaperän ikä / koskemattomuus / säilytettävän maaperän määrä (???),haitallisten vieraskasvilajien määrä,kytkeytyneisyys (miten tulisi huomioida???)